"Country"	"AgLandShare"	"AgGdpShare"	"ArableLandShare"	"GdpPerCapita"	"GiniCoef"	"HCI"	"LifeExp"	"PopYoung"	"PopMiddle"	"PopOld"	"PopFemale"	"PopMale"	"PopRural"	"PopUrban"	"Year"	"CalTotal"	"CalVegetal"	"CalAnimal"	"PropCalVegetal"	"PropCalAnimal"
"Cambodia"	32.7951506911398	22.6963952065525	21.9578518014956	4510.37235655168	NA	0.491589874029159	70.416	29.6255402063096	65.1018681289629	5.27259166472753	50.5056090007477	49.494397097981	75.768	24.232	2018	2713	2489	224	0.917434574272024	0.0825654257279764
"Cameroon"	20.6257536333058	17.4968650540914	13.1158638488714	3866.25447217005	NA	0.397401511669159	60.833	42.625165638261	54.6378496027334	2.73698475900564	50.1318047085044	49.8681915166411	42.44	57.56	2018	2752	2633	120	0.956758720930233	0.0436046511627907
"Canada"	6.44051311737432	6.8	4.26463846774167	47166.0089794923	NA	0.797520101070404	81.7487804878049	15.8683623523158	66.1132110479891	18.0184265996951	50.3109383126185	49.6890616873815	18.438	81.562	2018	3531	2585	946	0.73208722741433	0.26791277258567
"Central African Republic"	8.15435487495586	29.4959372264099	2.88933834151979	894.193373089326	NA	0.291631907224655	54.604	48.2084382989396	49.3126920730224	2.47886962803808	49.9893318759802	50.0106681240197	57.802	42.198	2018	1916	1652	264	0.862212943632568	0.137787056367432
"Chad"	39.8967598475222	46.8328453335089	4.12960609911055	1570.74291792441	NA	0.299782782793045	52.777	47.8167301468278	50.1506320194447	2.03263783372745	49.8036342016597	50.1963657983403	76.48	23.52	2018	2292	1971	321	0.859947643979058	0.140052356020942
"Chile"	21.1288821462963	4.08431323801444	1.60988363648101	24808.4044798393	44.9	0.651604175567627	79.377	18.6188701743694	68.9855520229994	12.3955778026311	50.3637272241412	49.6362727758588	12.273	87.727	2018	3066	2261	804	0.737442922374429	0.262230919765166
"China"	56.0768976600843	7.69864251697224	12.6765905798473	17189.2817942534	NA	0.65310263633728	78.077	18.0251204603043	69.3766175836562	12.5982619560395	48.9102011406413	51.0897989295376	38.572	61.428	2018	3305	2560	745	0.774583963691377	0.225416036308623
"Colombia"	43.4815885534024	7.39086770152565	4.3965235691753	15137.3639119574	54.2	0.60433030128479	74.769	21.9223616028949	69.6053276353906	8.47231076171452	50.6395832828562	49.3604186805976	18.575	81.425	2018	2973	2418	555	0.813319878910192	0.186680121089808
"Comoros"	70.3922622246104	35.7974035819198	35.4648038688877	3398.84934391904	NA	0.40468829870224	64.166	38.4706127522123	57.1953543066812	4.33403294110642	49.7742400448543	50.2257599551457	70.62	29.38	2018	2314	2177	137	0.940795159896283	0.0592048401037165
"Congo, Dem. Rep."	14.8086720628129	20.8834188843753	5.94472993537858	1101.25040167561	NA	0.366369277238846	59.739	46.4939302095622	50.505358382266	3.00071140817177	50.388360487102	49.6116405898672	54.362	45.638	2018	NA	NA	NA	NA	NA
"Congo, Rep."	31.1215226939971	11.2417476443825	1.61054172767204	3570.01696519798	NA	0.41926571726799	63.785	41.6719395093871	55.6804211867263	2.64763930388655	50.061993899169	49.938006100831	32.171	67.829	2018	NA	NA	NA	NA	NA
"Costa Rica"	34.4986290638465	4.41427267612461	4.78848413631022	21618.6088963395	49.3	0.628635048866272	79.277	20.9004500200562	68.8812253506419	10.218324629302	49.9400851631969	50.0599148368031	19.229	80.771	2018	3005	2318	687	0.771381031613977	0.228618968386023
"Cote d'Ivoire"	66.6666666666667	21.0824365135197	11.0062893081761	5377.78552757916	NA	0.379889339208603	59.032	42.110374911366	55.4807930488641	2.40883203976997	49.4714041845024	50.5285958154976	48.294	51.706	2018	NA	NA	NA	NA	NA
"Croatia"	26.8942101501072	3.0835310006672	15.8863473909936	29687.1169435532	NA	0.709693968296051	77.7243902439024	14.192714705704	64.2363882959904	21.5708969983057	51.3371308674991	48.6628935413849	42.447	57.553	2018	3097	2160	937	0.697449144333226	0.302550855666774
"Cyprus"	14.5161147186147	1.87662449382612	11.0824242424242	41421.703125	NA	0.755520224571228	81.391	16.0060264864808	69.839528030273	14.1544454832462	49.9059826090048	50.0940173909952	33.179	66.821	2018	3053	2384	669	0.780871274156567	0.219128725843433
"Czechia"	45.6468665918898	1.96061362053174	32.1787733522905	42712.3412280419	NA	0.752257406711578	78.2268292682927	15.9618120049623	63.8732950439863	20.1648929510514	50.7405929928659	49.2594070071341	25.939	74.061	2018	3272	2350	922	0.718215158924205	0.281784841075795
"Denmark"	65.499675	1.36132728782744	59.27325	60973.9658705918	NA	0.755094826221466	81.5512195121951	16.2688363392114	63.6842452186807	20.0469184421079	50.266743178991	49.7332739865021	11.884	88.116	2018	3402	2109	1293	0.619929453262787	0.380070546737213
"Dominican Republic"	50.2794452494308	6.04147752532252	18.1535913889464	17686.759042937	39.6	0.502766907215118	72.889	27.6233677512044	65.4116464562757	6.96498579251993	49.7486195941985	50.2513713146147	17.46	82.54	2018	2923	2434	489	0.832706123845364	0.167293876154636
"Ecuador"	21.8231599291351	9.84273075607443	4.17941697535835	10924.180121551	47.3	0.594254851341248	72.153	26.4899690256678	65.9658726019369	7.54415837239534	50.0235976779271	49.9764080075754	35.834	64.166	2018	2554	2027	527	0.793657008613939	0.206342991386061
"Egypt"	3.98915063539103	11.5676091272417	3.38038073233211	12004.1259270733	NA	0.494374662637711	70.99	33.2101856403026	62.0811053006271	4.70870905907027	49.4185695613612	50.5814295081045	57.217	42.783	2018	3302	3000	302	0.908540278619019	0.0914597213809812
"El Salvador"	57.707528957529	5.45417460882253	34.7972972972973	8720.01199739566	NA	0.546176612377167	71.061	26.083984839015	65.812244318087	8.10377084289794	52.3667704848658	47.6332136237827	26.556	73.444	2018	2683	2261	422	0.842713380544167	0.157286619455833
"Estonia"	23.0409356725146	2.05033085403078	16.233918128655	38532.7059916214	NA	0.77720320224762	78.3463414634146	16.4657932188193	63.3530257761891	20.1811810049916	52.6238036352039	47.3762715842111	30.771	69.229	2018	3189	2083	1106	0.653182815929759	0.346817184070241
"Eswatini"	71.046511627907	8.11843772304706	10.1744186046512	8744.43869333825	NA	0.37250080704689	59.692	35.4396923741483	60.6125836929501	3.94772393290165	50.3736485256066	49.6263514743935	75.829	24.171	2018	2550	2274	276	0.891764705882353	0.108235294117647
"Ethiopia"	34.0927517767343	35.5582693458206	14.3500906874499	2376.6356011465	NA	0.382784843444824	65.371	40.3131916092025	56.5567115524855	3.13009683831197	49.7345404201184	50.2654595798816	78.305	21.695	2018	2452	2349	103	0.957993474714519	0.0420065252854812
"Fiji"	17.0552818828681	14.5022929909741	4.20361247947455	11567.5353660698	NA	0.508573293685913	67.924	29.1867751965946	65.2739721562501	5.53925264715533	49.8187787775607	50.1811125766225	42.753	57.247	2018	2815	2279	536	0.809591474245115	0.190408525754885
"Finland"	7.46857932486675	2.45207798591011	7.37974600250049	52290.8214278539	NA	0.796001017093658	82.1317073170732	15.6613258273671	61.848581093154	22.4900930794789	50.6097512455086	49.3902306695689	14.483	85.517	2018	3345	2006	1339	0.599701046337818	0.400298953662182
"France"	52.1475462828527	1.56968130712855	32.793955697763	47971.7786555467	NA	0.762737214565277	82.1756097560976	17.5521513606696	61.4383009269549	21.0095477123755	51.6498893076282	48.3501106923718	19.025	80.975	2018	3479	2367	1112	0.680367921816614	0.319632078183386
"Gabon"	8.58710754065277	6.62814684727239	1.26130321729344	14664.7109343551	NA	0.457612454891205	66.531	36.5273646684315	59.5682449370206	3.90439039454796	49.0170214863387	50.9829785136613	9.908	90.092	2018	2655	2266	388	0.853483992467043	0.146139359698682
"Gambia"	59.7826086956522	21.2440052017636	43.4782608695652	2154.4856177314	NA	0.421570628881455	62.612	43.9253961254781	53.6196068756932	2.45499699882867	50.270571621157	49.729428378843	37.418	62.582	2018	2491	2297	194	0.922119630670413	0.0778803693295865
"Georgia"	34.2193121312419	7.28866812979586	4.46107353576054	14731.2005947457	34.5	0.568925797939301	72.765	20.9070472172478	64.5913526391482	14.501600143604	52.9608233012349	47.0391766987651	40.547	59.453	2018	2972	2415	557	0.812584118438762	0.187415881561238
"Germany"	47.4970663155786	0.752445359323199	33.3838976501903	55848.9713628136	NA	0.751162469387054	80.9414634146342	13.7515489432774	64.2847166479732	21.9637344087494	50.6588619556978	49.3411380443022	22.547	77.453	2018	3556	2459	1097	0.691507311586052	0.308492688413948
"Ghana"	55.393019913595	18.8537826617709	11.0463097660559	5551.78680222592	NA	0.450056403875351	64.114	37.5816131442611	59.0128793141378	3.40550754160106	50.1208359709377	49.8791640290623	42.651	57.349	2018	3071	2942	130	0.95799413871703	0.0423314881146206
"Greece"	45.5173622963538	4.23836165281583	16.5394134988363	28400.1008745004	NA	0.690006494522095	81.0878048780488	14.177384022727	63.6411991287863	22.1814168484866	51.0000635450207	48.9999364549793	20.285	79.715	2018	3367	2518	848	0.747846747846748	0.251856251856252
"Grenada"	23.5294117647059	4.90306046386154	8.82352941176471	13896.9827426932	NA	0.565070509910584	74.924	24.1337344233926	66.1806684295222	9.68559714708522	49.930860483734	50.0683308669529	63.463	36.537	2018	2501	1886	615	0.754098360655738	0.245901639344262
"Guatemala"	35.9835759611795	9.89588321197133	8.04404628592759	8849.71774303031	NA	0.461270093917847	71.797	33.4785333299045	61.6708840841945	4.85058258590094	50.478502271361	49.5215034881059	48.164	51.836	2018	2506	2222	284	0.886671987230646	0.113328012769354
"Guinea"	59.0102555754517	25.8219861815446	12.6159856747518	2746.73328025897	NA	0.37094247341156	59.327	42.1093584492871	54.5038309856702	3.3868105650427	50.6402159823517	49.3597764448469	63.125	36.875	2018	2806	2674	132	0.95295794725588	0.0470420527441197
"Guyana"	6.30556261112522	16.8511786471615	2.13360426720853	19439.9309798917	NA	0.495226472616196	68.486	28.8718543104508	65.0810585021111	6.04708718743806	51.0915677582344	48.9084322417656	73.214	26.786	2018	3173	2668	505	0.840844626536401	0.159155373463599
"Haiti"	66.7634252539913	20.3625000491202	38.8243831640058	3121.14575720839	NA	0.446564912796021	64.052	32.642847758493	62.9240373592833	4.43311488222377	50.4245807456946	49.57542809854	42.912	57.088	2018	2103	1936	168	0.920589633856396	0.079885877318117
"Honduras"	31.3790329788185	12.1171809163756	9.1160961658772	5303.51449924795	NA	0.481023132801056	71.462	31.0670482997873	64.8157638150587	4.117187885154	49.4852823564432	50.5147176435568	41.641	58.359	2018	2683	2356	327	0.878121505777115	0.121878494222885
"Hong Kong"	3.80952380952381	0.0989644609949965	1.9047619047619	58949.4659538846	NA	0.812756538391113	85.3878048780488	12.2435835691643	68.995998177566	18.7604182532697	53.8434024027331	46.1565842656365	0	100	2018	NA	NA	NA	NA	NA
"Hungary"	53.7256191102345	3.39148020598227	43.962305500767	34061.4614254375	NA	0.683087289333344	75.6170731707317	14.5570170366919	65.3455271472521	20.0974558160559	52.0796572673216	47.9203324768708	28.058	71.942	2018	3350	2237	1113	0.667761194029851	0.332238805970149
"Iceland"	18.565903005058	4.580299060332	1.20003967073292	54714.3436731716	NA	0.745281875133514	83.0658536585366	18.7095173030717	66.7186208815035	14.5718618154248	48.7038718844516	51.2964008410856	6.102	93.898	2018	3647	2008	1638	0.55058952563751	0.449136276391555
"India"	60.2198569213538	18.2289275679865	52.2566927777909	6448.87019636168	NA	0.493510901927948	70.15	26.1123335319891	67.2153464001391	6.67232006787184	48.3669367857184	51.6330632142815	65.074	34.926	2018	2580	2285	295	0.885658914728682	0.114341085271318
"Indonesia"	33.1820876379946	13.7024660064027	14.0078475903573	12146.4067908851	37.6	0.540038466453552	68.808	25.7189360206748	67.5715448629821	6.70951911634314	49.6326773130837	50.3673230547554	43.359	56.641	2018	2943	2716	226	0.922867821950391	0.0767923887189942
"Iran"	28.975654853621	12.2129981052409	9.64252696456086	15222.7597362954	NA	0.593404471874237	74.832	23.9924771617384	68.8998686765412	7.1076541617204	49.4388963030475	50.5611025513485	24.126	75.874	2018	NA	NA	NA	NA	NA
"Iraq"	21.307079939557	5.97488228338059	11.5173405078686	9408.29552709836	NA	0.407643288373947	69.123	38.4857375993296	58.1113990374811	3.40286336318926	49.9551518970423	50.0448457531671	29.107	70.893	2018	2613	2400	213	0.918484500574053	0.0815154994259472
"Ireland"	65.495717811003	0.931203344935232	6.44505733778487	93941.6085160404	NA	0.792599022388458	82.2048780487805	20.1778202263229	65.2778471363103	14.5443326373668	50.4598049501033	49.5401748320249	36.347	63.653	2018	3871	2715	1155	0.70136915525704	0.298372513562387
"Israel"	29.8706099815157	1.31645049038765	17.5600739371534	39619.6075195875	NA	0.733995318412781	82.7	28.2373276039897	59.9569831057177	11.8056892902926	50.1654983523245	49.8345130664737	7.413	92.587	2018	3567	2696	871	0.755817213344547	0.244182786655453
"Italy"	43.9575675392351	2.00892870584469	23.0997879729606	43034.8507474295	NA	0.727819681167603	82.3439024390244	12.8580060780417	63.7699228420107	23.3720710799476	51.2812858510167	48.7187124683274	28.961	71.039	2018	3463	2626	836	0.758302050245452	0.241409182789489
"Jamaica"	40.9972299168975	8.6832359903362	11.0803324099723	9701.89053303231	NA	0.534977912902832	71.869	20.8331833860409	72.1242694612233	7.04254715273581	50.3740201869498	49.625944357539	43.689	56.311	2018	2763	2234	529	0.808541440463265	0.191458559536735
"Japan"	11.9945130315501	1.04427085559301	11.2592592592593	41516.6025788135	NA	0.804714262485504	84.6156097560976	11.9157072442963	58.501114304099	29.5831784516048	51.3898980572928	48.6101011442706	8.218	91.782	2018	2679	2117	562	0.790220231429638	0.209779768570362
"Jordan"	11.5886208527603	4.69703811006178	2.31997657499381	9707.40418160313	NA	0.553174376487732	75.184	33.0584933040197	63.3290299935372	3.61247670244304	48.1112748692185	51.8887342809831	8.58199999999999	91.418	2018	2606	2246	360	0.861857252494244	0.138142747505756
"Kazakhstan"	79.2692521391266	5.3912826934481	10.9468459458458	26750.446226155	NA	0.628506422042847	71.37	29.2444540596271	62.9114923076753	7.84405363269757	51.9471930466352	48.0528069533648	42.329	57.671	2018	3352	2450	902	0.73090692124105	0.26909307875895
"Kenya"	48.5469304564782	22.6210088545818	10.1908142109147	4744.73926814922	NA	0.546752512454987	62.675	38.9730143512322	58.2239085380656	2.8030771107022	50.4081731581213	49.5918268418787	72.005	27.995	2018	2174	1924	249	0.885004599816007	0.114535418583257
"Kiribati"	41.9753086419753	26.1760174678469	2.46913580246914	2051.35767187116	NA	0.492592930793762	67.266	36.1914702661242	60.1228813056732	3.6856484282026	51.3731288993619	48.6268711006381	44.406	55.594	2018	3078	2719	359	0.883365821962313	0.116634178037687
"Kuwait"	8.41750841750842	0.457473273068322	0.448933782267116	46328.0794647542	NA	0.562588036060333	76.92	20.9743066331884	75.0417875975718	3.98390576923981	38.7433940213428	61.2566059786572	0	100	2018	3447	2802	645	0.812880765883377	0.187119234116623
"Kyrgyzstan"	54.0552659019812	13.5743343984907	6.71220020855057	4985.02955528531	29	0.596617102622986	71.8	34.3532106621858	61.3788068061724	4.26798253164187	50.8927023315944	49.1072976684056	63.144	36.856	2018	2728	2129	599	0.780425219941349	0.219574780058651
"Laos"	8.79116117850953	16.3377623592616	5.30329289428076	8189.14621030973	NA	0.456665337085724	68.497	31.3743314171013	64.347093251782	4.27857533111667	49.5884156609033	50.4115843390967	63.71	36.29	2018	NA	NA	NA	NA	NA
"Latvia"	31.6406877711715	4.33640010767793	21.4366061385184	32102.971282257	NA	0.70658141374588	75.3878048780488	15.6502562923947	62.9495923148127	21.4001513927926	53.7645778818925	46.2354221181075	31.685	68.315	2018	3229	2258	972	0.69928770517188	0.301021988231651
"Lebanon"	65.4613880742913	3.07825000560689	13.2258064516129	14535.6809169716	NA	0.515125513076782	77.804	27.8350661102874	62.8148605574488	9.3500733322638	51.4688085993753	48.5312090593497	11.075	88.925	2018	2851	2488	363	0.872676253945984	0.127323746054016
"Lesotho"	85.6389986824769	4.78413761009429	19.631093544137	2417.7286592475	NA	0.400392591953278	54.693	34.2274521982166	61.5615988642917	4.21094893749168	50.6594649749346	49.3405350250654	70.972	29.028	2018	2264	1970	293	0.870141342756184	0.129416961130742
"Liberia"	20.2869601328904	41.0519665820445	5.19102990033223	1459.61427704702	NA	0.319014221429825	60.948	41.456589074835	55.168243397235	3.37516752793	50.2425316220823	49.7574880336128	47.911	52.089	2018	2160	2037	123	0.943055555555556	0.0569444444444444
"Lithuania"	46.9945704247844	3.52058210977139	35.9214308527627	39913.0016205102	NA	0.70604795217514	74.9292682926829	15.070100644744	64.5098610361822	20.4200383190737	53.1534071064903	46.8465928935097	31.954	68.046	2018	3412	2419	993	0.708968347010551	0.291031652989449
"Luxembourg"	51.3257149072038	0.212408001749032	24.1332162861338	118961.525075074	NA	0.686146140098572	81.7414634146342	15.9809771422725	69.4608736206168	14.5581492371108	49.6823440392513	50.3176559607487	8.547	91.453	2018	3481	2298	1183	0.660155127836829	0.339844872163171
"Madagascar"	70.2904778274321	24.6929443979329	5.15641113784806	1514.86168771791	NA	0.391991019248962	65.182	39.7196559603445	57.0341446757649	3.2461993638906	49.873033568576	50.1269628884878	61.466	38.534	2018	1887	1755	132	0.930047694753577	0.0699523052464229
"Malawi"	59.9278744166313	22.6552060808202	38.1841323716589	1571.18029616444	NA	0.413240641355515	63.717	43.7277267247152	53.4832745408792	2.78899873440563	51.3922260966201	48.6077739033799	82.573	17.427	2018	2618	2368	250	0.904507257448434	0.0954927425515661
"Malaysia"	26.0873535230558	8.16854724964739	2.51407700502207	27245.6204199968	NA	0.610976159572601	75.938	23.2770892451694	69.7111909029619	7.01171985186864	48.8368205378838	51.1631794621161	22.84	77.16	2018	2904	2398	506	0.825757575757576	0.174242424242424
"Mali"	33.7660528278383	36.1880449703943	5.25409977134708	2240.14093071924	NA	0.318269580602646	58.633	47.6079883942925	49.8961366450497	2.49587496065782	49.4990633263036	50.5009366736964	56.091	43.909	2018	2881	2646	235	0.918431100312392	0.0815688996876085
"Malta"	32.4375	0.435983141985177	28.34375	44583.3292731958	NA	0.709248304367065	82.6536585365854	13.1987860865651	67.9599424089662	18.8412715044687	48.2086239080406	51.7913760919594	5.256	94.744	2018	3385	2444	940	0.722008862629247	0.277695716395864
"Mauritania"	38.4796740079558	19.617851905039	0.388085766954497	5605.92029357621	NA	0.381546080112457	64.532	42.3760951593089	54.31916815963	3.30473668106113	51.0421899771574	48.9578100228426	44.673	55.327	2018	2891	2463	427	0.851954341058457	0.147699757869249
"Mauritius"	42.3645320197044	3.14380868309124	36.9458128078818	21331.8141194663	NA	0.62185925245285	74.1770731707317	17.0297285270962	71.1871569989078	11.783114473996	50.6196506779019	49.3802722702854	59.24	40.76	2018	3036	2557	480	0.842226613965744	0.158102766798419
"Mexico"	49.969392216878	3.79555461107758	10.3248540343116	18523.3397789209	45.4	0.612949848175049	70.133	25.3368030520634	66.6419602489641	8.02123669897249	51.1204119242813	48.8795880757187	19.269	80.731	2018	3174	2476	698	0.780088216761185	0.219911783238815
"Micronesia"	31.4285714285714	22.1016421568627	2.85714285714286	3644.97092502149	NA	0.505966544151306	70.674	31.1551961750657	63.2858041237573	5.55899970117701	49.6797673630314	50.3211246498849	77.067	22.933	2018	NA	NA	NA	NA	NA
"Moldova"	68.8650614573387	8.69170647720657	51.6898487437889	12870.0160240115	NA	0.584153532981873	70.166	19.6493213439759	66.9953647620125	13.3553138940116	52.4944024776593	47.5055975223407	57.151	42.849	2018	NA	NA	NA	NA	NA
"Mongolia"	72.3589435904377	12.9656563032859	0.860657492742906	12305.7179068032	NA	0.614397525787354	72.141	32.2020073854056	63.5377094314938	4.26028318310069	50.3361376423466	49.6638623576534	31.343	68.657	2018	2857	1655	1202	0.579278963948197	0.420721036051803
"Montenegro"	19.17843866171	7.55489215188015	0.676579925650558	20508.7454570746	NA	0.633181810379028	75.9317073170732	18.2062562843029	65.8276203307381	15.966123384959	51.2571377700907	48.7427032595287	32.512	67.488	2018	3501	2272	1229	0.64895744073122	0.35104255926878
"Morocco"	68.0752856822765	10.664176831517	17.138695944432	7959.25634765625	NA	0.504116356372833	73.92	27.0916484625276	65.7570777478881	7.15127378958437	49.6441145536296	50.3558854463704	36.468	63.532	2018	3408	3067	341	0.899941314553991	0.100058685446009
"Mozambique"	52.6638927744856	26.2320014321278	7.18482158752766	1300.51077292959	NA	0.362116664648056	61.172	43.8634715706682	53.5364024247809	2.6001260045508	50.948804388856	49.051195611144	62.926	37.074	2018	2160	2053	107	0.950462962962963	0.049537037037037
"Myanmar"	19.9304395789603	20.9337779202196	16.881425528981	5218.02453689085	NA	0.477652013301849	66.797	25.1236148386325	68.4222329782654	6.45415218310218	50.1973356218772	49.8026643781228	68.859	31.141	2018	2841	2212	630	0.778599084829285	0.221752903907075
"Namibia"	47.1401328814877	9.16003166922781	0.971711061715799	9543.71273387521	NA	0.446437537670136	62.829	36.2036368194422	59.7637176197964	4.03264556076137	51.7230739810164	48.2769260189836	47.967	52.033	2018	2479	2172	306	0.876159741831384	0.123436869705526
"Nepal"	28.7478200209278	22.1800901927127	14.7450296477154	3967.82017915997	NA	0.504601776599884	69.246	30.1158819096396	63.8443194660466	6.03979862431386	52.3642315533193	47.6357718539951	79.424	20.576	2018	2868	2619	249	0.913179916317992	0.0868200836820084
"Netherlands"	53.8892188892189	1.59906092676986	29.8434808434808	60084.9560252556	NA	0.789915025234222	81.409756097561	15.6002582801428	64.7526786957455	19.6470630241117	50.3174872754151	49.6825127245849	7.764	92.236	2018	NA	NA	NA	NA	NA
"New Zealand"	38.5629106376514	5.65	2.00144316585014	45373.5594085757	NA	0.775932431221008	82.0560975609756	19.0681692154534	65.3534232993459	15.5784074852007	50.4487829108621	49.5512368475596	13.301	86.699	2018	3217	2268	949	0.705004662729251	0.294995337270749
