"age"	"kids06"	"kids714"	"kids1520"	"hh_inc"	"organic_tastes_better"	"organic_buyer"	"pay_more_organic"	"organic_salience"	"capital"	"urban"	"rural"	"edu_long"	"edu_medium"	"edu_short"	"female"	"org_vol_share"
"37"	71	0	0	0	7	0	0	0	0	0	1	0	0	0	1	1	0.0427575319036969
"38"	81	0	0	0	6	1	1	1	1	0	1	0	1	0	0	1	0.664220183486239
"39"	81	0	0	0	12	0	0	0	0	0	0	1	0	1	0	1	0.138453018275798
"40"	77	0	0	0	6	0	0	1	0	0	0	1	0	0	1	1	0.453012589928058
"41"	68	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0
"42"	76	0	0	0	7	0	0	1	1	1	0	0	0	0	1	1	0.103931234989255
"43"	67	0	0	0	12	0	0	0	0	0	1	0	0	0	1	1	0.124671686219576
"44"	66	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0
"45"	67	0	0	0	3	0	0	0	1	0	1	0	0	1	0	1	0.248955514409154
"46"	69	0	0	0	9	0	0	0	0	0	0	1	0	1	0	1	0.0127735128437672
"47"	78	0	0	0	3	1	1	0	0	1	0	0	1	0	0	1	0.0297596904992188
"48"	78	0	0	0	12	0	0	0	0	0	0	1	0	1	0	0	0.0508087052248285
"49"	77	0	0	0	12	0	0	0	0	0	1	0	1	0	0	1	0.242072962836686
"50"	50	0	0	0	12	0	0	0	1	0	1	0	0	1	0	1	0.0415023863872173
"51"	75	0	0	0	8	1	1	1	1	0	1	0	0	1	0	1	0.0102710413694722
"52"	59	0	0	0	12	1	1	1	1	1	0	0	0	0	1	1	7.02368365404948
"53"	59	0	0	0	9	1	0	1	1	0	1	0	0	1	0	1	0.290020988361
"54"	62	0	0	0	12	0	0	1	1	1	0	0	0	1	0	1	0.0104031209362809
"55"	67	0	0	0	3	0	0	1	1	0	1	0	1	0	0	1	0.0060916179337232
"56"	74	0	0	0	8	1	0	0	0	0	0	1	1	0	0	0	0.195198714300064
"57"	87	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0.115384615384615
"58"	72	0	0	0	11	1	1	1	1	0	1	0	1	0	0	1	0.185917951702066
"59"	67	0	0	0	4	0	0	0	0	0	1	0	0	0	1	1	0.110597531768188
"60"	83	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0.0938818565400844
"61"	68	0	0	0	6	0	0	0	0	0	1	0	0	0	1	1	0.0278852367589388
"62"	66	0	0	0	12	0	1	1	1	0	1	0	0	0	1	0	0.148605395518976
"63"	63	0	0	0	12	0	0	0	0	0	1	0	0	1	0	1	0.051741908884766
"64"	79	0	0	0	4	1	1	1	0	0	1	0	0	0	0	1	0.0360934182590234
"65"	82	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0.0128452151573539
"66"	75	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0.087719298245614
"67"	73	0	0	0	5	0	0	0	0	0	1	0	0	0	1	1	0.0188172043010753
"68"	85	0	0	0	7	0	0	0	0	0	1	0	0	0	1	1	0.078114771983417
"69"	73	0	0	0	2	1	1	1	1	0	0	1	0	0	1	1	0
"70"	51	0	0	1	6	0	0	0	0	0	0	1	0	1	0	1	0.141048824593128
"71"	81	0	0	0	6	0	0	1	1	0	1	0	1	0	0	1	0.821034775233249
"72"	82	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0.042376073527196
"73"	80	0	0	0	4	0	0	0	0	0	0	1	0	0	1	1	0.279579316389132
"74"	66	0	0	0	12	1	1	1	1	0	0	1	1	0	0	1	0.443228178567231
"75"	76	0	0	0	2	0	1	1	1	0	0	1	0	0	1	1	0.0404087051896323
"76"	61	0	0	0	12	0	0	0	0	0	0	1	0	1	0	1	0.127839815171352
"77"	88	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0.593857909044155
"78"	66	0	0	1	12	1	1	1	0	0	1	0	0	0	1	0	0.0751748251748252
"79"	69	0	0	0	4	0	0	0	0	0	1	0	0	0	1	1	0.0614601795208965
"80"	67	0	0	0	6	0	0	0	1	1	0	0	0	1	0	1	0.166893032061571
"81"	73	0	0	0	9	0	1	1	0	0	1	0	1	0	0	0	0.337269681742044
"82"	67	0	0	0	4	1	1	1	0	1	0	0	0	1	0	1	0.305749923942805
"83"	67	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0.0644122383252818
"84"	61	0	0	0	7	1	1	1	0	0	1	0	0	1	0	1	0.35958904109589
"85"	70	0	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0.303072625698324
"86"	71	0	0	0	12	0	0	0	0	0	0	1	1	0	0	1	0.174603174603175
"87"	63	0	0	0	7	0	0	0	0	0	0	1	0	0	1	1	0.0477377605686098
"88"	50	0	0	2	11	0	0	0	0	0	1	0	0	0	0	1	0
"89"	84	0	0	0	9	0	0	0	0	0	1	0	0	1	0	0	0.243748307303422
"90"	75	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0
"91"	75	0	0	0	3	0	0	0	0	0	1	0	1	0	0	1	0.0466926070038911
"92"	73	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0.014403822282596
"93"	82	0	0	0	5	0	0	0	0	0	1	0	0	0	1	1	0.00578235226089973
"94"	66	0	0	0	9	0	0	0	0	0	1	0	1	0	0	1	0
"95"	71	0	0	0	4	0	0	0	0	0	1	0	0	0	1	1	0.0258064516129032
"96"	78	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0.0199680511182109
"97"	81	0	0	0	12	0	0	0	0	0	0	1	1	0	0	1	0.0375123395853899
"98"	80	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0.0805785123966942
"99"	72	0	0	0	3	0	0	0	0	0	0	1	0	0	1	1	0
"100"	77	0	0	0	7	1	1	1	1	0	1	0	1	0	0	0	0.741830624465355
"101"	70	0	0	0	4	0	0	0	1	1	0	0	1	0	0	1	0.24817558399648
"102"	82	0	0	0	4	1	1	1	1	0	1	0	0	0	1	1	0.155038759689922
"103"	60	0	0	0	8	1	1	1	0	0	1	0	1	0	0	1	0.633333333333333
"104"	79	0	0	0	8	1	1	1	1	0	1	0	0	0	1	1	0.265084075173096
"105"	70	0	0	0	8	1	1	1	1	0	1	0	1	0	0	1	2.06429912390488
"106"	68	0	0	0	7	1	1	1	0	0	1	0	1	0	0	1	0.553477876664773
"107"	69	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0.556442041408414
"108"	84	0	0	0	5	0	0	0	0	0	0	1	0	0	1	1	0.119312758510977
"109"	83	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0
"110"	68	0	0	0	12	1	1	1	1	0	1	0	1	0	0	0	0.404044943820225
"111"	72	0	0	0	5	1	1	1	0	0	1	0	0	0	0	1	0.126658365892405
"112"	86	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0.058531746031746
"113"	73	0	0	0	5	1	1	1	0	0	0	1	0	0	1	1	0
"114"	72	0	0	0	4	1	1	0	0	0	1	0	0	0	1	1	0.159151193633952
"115"	79	0	0	0	6	0	1	0	1	0	1	0	0	0	1	1	0.0739030023094688
"116"	76	0	0	0	9	0	0	0	0	0	1	0	0	1	0	1	0.134315037929496
"117"	62	0	0	0	10	0	0	0	1	0	0	1	0	0	1	1	0.161273911273911
"118"	76	0	0	0	2	1	1	1	0	0	1	0	0	1	0	1	0
"119"	73	0	0	0	3	1	0	0	0	0	0	1	0	1	0	1	0
"120"	78	0	0	0	3	1	1	1	0	0	0	1	0	1	0	1	0.268041237113402
"121"	71	0	0	0	7	0	0	0	1	0	1	0	0	1	0	1	0.121644528779254
"122"	68	0	0	0	12	1	1	1	1	0	0	1	0	1	0	0	0.195061079732037
"123"	61	0	0	0	6	0	0	0	0	0	0	1	0	1	0	1	0.115424973767051
"124"	71	0	0	0	5	0	0	0	0	0	1	0	0	0	1	1	1.19574844995571
"125"	62	0	0	0	10	0	0	0	0	0	1	0	0	1	0	1	0.186878378547867
"126"	63	0	0	0	4	0	0	0	0	0	0	1	0	1	0	1	0.0736
"127"	77	0	0	0	3	0	0	0	1	0	1	0	0	0	1	1	0.165073848827107
"128"	63	0	0	0	6	1	1	1	1	0	0	1	0	1	0	1	0.124399089145652
"129"	60	0	0	0	12	0	0	0	0	0	1	0	0	0	0	1	0.159327065809005
"130"	64	0	0	0	11	1	1	1	0	0	1	0	0	0	0	1	0
"131"	65	0	0	0	7	0	0	1	0	0	0	1	0	1	0	1	0
"132"	58	0	0	0	12	0	0	0	0	0	0	1	0	1	0	1	0.0244917952485917
"133"	60	0	0	0	10	0	0	0	0	0	0	1	0	1	0	1	0.0144604795095005
"134"	79	0	0	0	7	0	0	1	0	0	1	0	0	0	0	0	0
"135"	83	0	0	0	4	0	0	0	0	0	0	1	0	0	1	1	0.843091334894614
"136"	93	0	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0.0310424039237599
"137"	60	0	0	0	3	0	0	0	0	0	0	1	0	0	1	1	0.0414688258101972
"138"	60	0	0	0	11	0	0	0	0	0	1	0	0	1	0	1	0
"139"	70	0	0	0	6	0	0	0	1	0	1	0	1	0	0	1	0.0340397634866804
"140"	78	0	0	0	7	0	0	0	0	0	1	0	0	1	0	1	0.0599477255832914
"141"	62	0	0	0	12	1	1	1	0	0	0	1	0	1	0	1	0.24732442777908
"142"	92	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0.163577712609971
"143"	83	0	0	0	4	0	0	0	0	0	1	0	0	0	1	1	0.10144553433144
"144"	72	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0
"145"	82	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0
"146"	77	0	0	0	7	0	0	0	0	0	0	1	0	1	0	1	0.155633948952065
"147"	72	0	0	0	6	0	0	0	0	0	0	1	0	1	0	1	0.020356648481394
"148"	74	0	0	0	8	0	0	0	0	0	0	1	0	0	1	1	0
"149"	79	0	0	0	4	1	1	1	1	0	0	1	0	0	1	1	0
"150"	71	0	0	0	4	0	0	0	0	0	0	1	0	0	1	1	0.14058209774849
"151"	78	0	0	0	6	0	0	0	0	0	0	1	0	0	0	1	0.0081237044092106
"152"	68	0	0	0	9	0	0	0	1	0	0	1	1	0	0	1	0.166663475347056
"153"	79	0	0	0	3	0	1	1	0	0	0	1	0	1	0	1	0.218635363169479
"154"	76	0	0	0	5	0	0	0	0	0	0	1	0	0	1	1	0.0407147888327477
"155"	74	0	0	0	6	0	0	0	0	0	0	1	0	0	1	1	0.0710126402499645
"156"	73	0	0	0	4	0	0	0	0	0	0	1	0	0	1	1	0.0028957528957529
"157"	66	0	0	0	7	0	0	0	0	0	0	1	0	1	0	1	0.0436205016357688
"158"	76	0	0	0	7	0	1	1	0	0	1	0	0	1	0	1	0.201183431952663
"159"	81	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0.0411160058737151
"160"	62	0	0	0	6	0	0	0	0	1	0	0	0	0	1	1	0.317460317460317
"161"	60	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0
"162"	58	0	0	0	5	0	0	1	0	0	1	0	0	1	0	0	0
"163"	62	0	0	0	11	0	0	0	0	0	0	1	0	0	1	1	0.0842911877394636
"164"	55	0	0	0	8	0	0	0	0	1	0	0	0	0	1	0	0.13880076142132
"165"	73	0	0	0	5	0	0	0	0	0	1	0	0	0	1	1	0.154128907813808
"166"	77	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0.100283796321563
"167"	52	0	0	0	2	0	1	0	1	0	1	0	0	1	0	1	0.357142857142857
"168"	82	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0.0318275961513253
"169"	67	0	0	0	7	0	0	0	0	0	1	0	1	0	0	1	0.0869601747605444
"170"	64	0	0	0	2	0	1	0	0	1	0	0	0	1	0	1	0.274052478134111
"171"	54	0	1	1	9	0	0	0	0	0	0	1	0	1	0	1	0.0674392719177634
"172"	72	0	0	0	6	0	0	0	1	0	0	1	0	0	1	1	0.0162337662337662
"173"	81	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0
"174"	67	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0.108032193593691
"175"	51	0	0	0	10	0	0	0	0	1	0	0	0	0	0	1	0.361344537815126
"176"	51	0	1	2	8	0	0	0	1	0	1	0	1	0	0	1	0.0662376987130961
"177"	72	0	0	0	3	0	0	0	0	1	0	0	0	1	0	1	0.0864553314121038
"178"	77	0	0	0	5	0	0	0	1	0	1	0	0	0	1	1	0.922495274102079
"179"	57	0	0	0	12	0	0	0	0	0	1	0	1	0	0	1	0.0384480950716533
"180"	58	0	0	0	8	0	0	0	0	0	1	0	0	1	0	1	0.0307692307692308
"181"	73	0	0	0	12	0	0	0	0	0	0	1	1	0	0	1	0.0723970539002343
"182"	66	0	0	0	11	1	1	1	1	0	1	0	0	1	0	1	0.41
"183"	49	0	1	1	12	1	0	0	0	0	1	0	0	1	0	1	0.317919075144509
"184"	53	0	0	0	6	1	1	1	1	0	0	1	1	0	0	1	8.80781089414183
"185"	59	0	0	0	10	0	1	0	0	0	1	0	0	0	1	1	0.0740702102133431
"186"	76	0	0	0	3	0	0	0	1	0	0	1	0	0	1	1	0.242992204345663
"187"	53	0	0	0	12	0	0	0	0	0	1	0	0	0	0	1	3.88704318936877
"188"	55	0	0	1	12	1	0	0	1	1	0	0	0	1	0	1	0.10257341260836
"189"	57	0	0	0	10	1	0	1	0	0	1	0	0	1	0	1	0.0806120654276836
"190"	70	0	0	0	9	0	0	0	0	0	1	0	0	1	0	0	0.0627653494448073
"191"	65	0	0	0	11	0	0	0	0	0	1	0	0	1	0	1	0.277938065012502
"192"	84	0	0	0	7	0	1	1	1	0	1	0	1	0	0	1	0.344262295081967
"193"	74	0	0	0	6	0	0	0	0	0	0	1	0	0	0	1	0.117312755806981
"194"	71	0	0	0	5	0	0	0	1	1	0	0	0	1	0	0	0.231734317343173
"195"	73	0	0	0	6	0	1	0	0	1	0	0	1	0	0	1	0.160356347438753
"196"	81	0	0	0	6	0	0	0	0	0	1	0	0	0	1	1	0.0599618704003608
"197"	48	0	0	2	12	0	0	0	0	0	1	0	0	0	1	1	0.0756211739287
"198"	66	0	0	0	7	0	0	0	0	0	1	0	0	1	0	1	0.158969210174029
"199"	74	0	0	0	4	0	1	1	1	0	1	0	1	0	0	1	0.205083086531432
"200"	62	0	0	0	12	0	0	0	0	0	0	1	0	0	1	1	0.0239345697248208
"201"	60	0	0	0	8	0	1	1	0	0	1	0	1	0	0	1	1.35022404423682
"202"	66	0	0	0	12	0	1	1	0	0	0	1	0	1	0	0	0.376412472985489
"203"	64	0	0	0	12	0	0	0	0	0	0	1	0	1	0	1	0.0877462624004471
"204"	79	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0
"205"	72	0	0	0	12	1	1	1	1	0	1	0	1	0	0	1	0.117803930662647
"206"	57	0	0	0	9	0	0	1	0	0	1	0	1	0	0	1	0.814159292035398
"207"	71	0	0	0	3	0	0	0	0	1	0	0	0	1	0	1	1.0995449374289
"208"	66	0	0	0	5	1	0	1	1	0	1	0	0	1	0	1	0.13954442848348
"209"	68	0	0	0	7	1	1	1	0	1	0	0	1	0	0	1	0.809390225896944
"210"	57	0	0	0	12	1	1	1	1	1	0	0	1	0	0	1	0.259115306311309
"211"	78	0	0	0	6	1	1	1	0	0	1	0	0	0	0	1	0.37801127626858
"212"	72	0	0	0	7	0	1	1	1	0	1	0	0	1	0	1	0.240474516433049
"213"	66	0	0	0	8	0	0	1	0	0	0	1	1	0	0	1	0
"214"	72	0	0	0	7	0	0	0	0	0	0	1	0	1	0	1	0.0534198046896965
"215"	75	0	0	0	4	0	0	0	0	0	1	0	0	1	0	1	0.00630914826498423
"216"	84	0	0	0	4	1	0	1	1	0	0	1	0	0	1	1	0.352702702702703
"217"	59	0	0	0	8	0	1	0	0	0	0	1	1	0	0	1	0.238598965679361
"218"	61	0	0	0	7	0	0	0	0	0	1	0	0	1	0	1	0
"219"	53	0	0	0	10	0	0	0	0	0	1	0	0	1	0	0	0.0184348787906719
"220"	67	0	0	0	9	0	0	0	0	0	0	1	0	1	0	1	0.0034435261707989
"221"	69	0	0	0	7	1	1	1	1	1	0	0	1	0	0	1	1.81282214629061
"222"	71	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0	0
"223"	51	0	1	1	12	0	1	1	1	1	0	0	1	0	0	1	6.10186585980837
"224"	61	0	0	0	12	1	1	1	1	0	0	1	0	1	0	1	1.1822892133773
"225"	74	0	0	0	10	0	0	0	0	1	0	0	0	0	1	1	0.0466483731869855
"226"	58	0	0	0	12	1	1	1	1	0	1	0	0	1	0	1	0.242547186452637
"227"	71	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0.0819000819000819
"228"	72	0	0	0	7	1	0	1	1	0	0	1	0	1	0	1	0.0749898662342927
"229"	70	0	0	0	3	1	1	1	1	0	1	0	1	0	0	0	0.138888888888889
"230"	75	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0.00893107759830565
"231"	80	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0.0847457627118644
"232"	72	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0.056703189336311
"233"	48	0	0	0	9	0	1	0	1	0	1	0	0	1	0	1	0
"234"	55	0	0	0	11	1	1	1	1	0	1	0	0	1	0	1	1.05010861694424
"235"	55	0	0	0	11	0	0	0	0	0	0	1	0	1	0	1	0
"236"	45	0	2	1	12	0	0	0	0	0	1	0	0	1	0	1	0.119250425894378
"237"	71	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0.279463834092059
"238"	59	0	0	0	8	0	0	1	0	0	1	0	0	0	0	1	0
"239"	62	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0.036222509702458
"240"	58	0	0	0	7	0	1	1	1	0	1	0	0	1	0	1	0.279697268838434
"241"	44	1	0	0	12	0	0	0	0	0	1	0	1	0	0	1	0.512820512820513
"242"	77	0	0	0	5	0	1	0	1	0	1	0	0	1	0	1	0.0766129032258065
"243"	55	0	0	0	8	1	0	1	1	0	1	0	1	0	0	1	0.235192522604897
"244"	66	0	0	0	3	0	1	0	0	0	0	1	0	0	1	1	0.0580816461998009
"245"	64	0	0	0	6	0	0	0	0	0	1	0	0	0	1	1	0.0198412698412698
"246"	69	0	0	0	5	0	0	0	0	0	1	0	0	0	1	1	0.0213458887818206
"247"	73	0	0	0	6	0	0	0	0	0	1	0	1	0	0	0	0.0707347972972973
"248"	81	0	0	0	5	0	0	0	0	0	1	0	0	0	1	1	0.0944505079338427
"249"	70	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0.0443012484897302
"250"	65	0	0	0	9	0	0	0	0	0	0	1	1	0	0	1	0.0396097920117799
"251"	92	0	0	0	5	1	1	1	0	0	0	1	1	0	0	1	0.760569852941177
"252"	78	0	0	0	3	1	0	1	1	1	0	0	1	0	0	1	0.0792103339020229
"253"	72	0	0	0	5	0	0	1	0	0	1	0	0	1	0	1	0.0213675213675214
"254"	75	0	0	0	2	0	1	0	0	0	1	0	0	0	1	1	0
"255"	75	0	0	0	9	0	0	0	0	0	0	1	0	1	0	0	0.0061652281134402
"256"	89	0	0	0	4	0	0	1	0	0	1	0	0	0	1	1	1.31225071225071
"257"	67	0	0	2	4	1	0	0	1	0	1	0	0	0	1	1	0.0222398729150119
"258"	68	0	0	0	5	0	0	0	0	0	0	1	0	0	1	1	0.117252931323283
"259"	54	0	0	0	12	0	0	0	0	1	0	0	1	0	0	0	0.0965018094089264
"260"	75	0	0	0	6	0	0	0	1	0	1	0	0	1	0	1	0
"261"	74	0	0	0	9	0	0	0	1	1	0	0	0	0	1	1	0.163602941176471
"262"	60	0	0	0	7	0	0	0	0	1	0	0	0	0	1	1	0.00800743089587137
"263"	48	0	1	0	5	0	0	0	0	0	1	0	0	0	1	1	0.106303116147309
"264"	75	0	0	0	8	0	0	0	0	0	1	0	0	1	0	1	0.383606147694615
"265"	47	0	0	0	10	0	1	1	1	0	1	0	0	1	0	1	0.99949836970153
"266"	57	0	0	0	9	0	0	1	0	0	0	1	0	1	0	1	0.259806941877182
"267"	75	0	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0.142911585365854
"268"	73	0	0	0	5	0	0	0	0	0	0	1	0	1	0	1	0.239719256623171
"269"	46	0	0	2	12	0	1	1	0	0	1	0	0	0	0	1	0.363157894736842
"270"	80	0	0	0	2	1	1	1	0	0	1	0	0	1	0	1	0
"271"	92	0	0	0	3	0	0	0	0	0	0	1	0	0	1	1	0.216299190622383
"272"	68	0	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0.826789838337182
"273"	75	0	0	0	3	1	1	1	1	0	1	0	1	0	0	1	0.336459909228442
"274"	53	0	0	1	12	0	0	0	0	0	0	1	0	1	0	0	0
"275"	84	0	0	0	2	1	1	1	1	0	1	0	0	0	1	1	0.0341400500720734
"276"	56	0	0	0	11	1	1	1	1	0	1	0	0	1	0	0	0.333333333333333
"277"	62	0	0	0	7	0	0	0	0	0	0	1	0	0	1	1	0.360676380644001
"278"	70	0	0	0	7	0	1	1	1	0	1	0	1	0	0	1	16
"279"	59	0	0	0	8	0	0	0	0	0	0	1	0	1	0	0	0.0442699721579211
"280"	59	0	0	0	12	1	1	1	1	0	0	1	0	1	0	1	0.0111304347826087
"281"	74	0	0	0	2	1	1	1	1	0	1	0	0	0	1	1	0
"282"	62	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0.0406735540551533
"283"	66	0	0	0	12	0	0	0	1	1	0	0	0	0	1	1	0.0202828484899003
"284"	45	0	0	2	11	1	0	0	0	0	0	1	0	0	1	1	0.0857439277431954
"285"	59	0	0	2	12	0	0	0	0	0	1	0	0	0	1	0	0
"286"	60	0	0	0	8	0	0	0	0	0	0	1	0	1	0	1	0.0146627565982405
"287"	78	0	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0.063971340839304
"288"	60	0	0	0	7	0	1	1	0	0	0	1	0	0	0	0	0.0192307692307692
"289"	50	0	0	2	12	0	0	0	0	0	1	0	1	0	0	1	0.0215254358900768
"290"	73	0	0	0	5	0	0	0	0	1	0	0	0	0	1	1	0.118089498119633
"291"	86	0	0	0	2	1	1	1	1	1	0	0	0	1	0	1	0.246549992665561
"292"	72	0	0	0	7	1	1	1	1	0	1	0	1	0	0	1	0.772585669781931
"293"	75	0	0	0	5	0	0	0	0	1	0	0	0	0	1	1	0.357812233770659
"294"	44	0	0	0	12	0	0	1	0	0	1	0	1	0	0	0	0.675121951219512
"295"	46	0	1	2	10	0	0	0	0	0	0	1	0	0	1	1	0.00482136830432477
"296"	45	0	0	0	12	0	0	1	0	0	1	0	0	1	0	0	0.120404214147495
"297"	76	0	0	0	3	0	1	1	1	0	1	0	0	0	1	1	1.31325301204819
"298"	68	0	0	0	10	1	0	1	0	0	0	1	0	0	1	1	0.272660412219492
"299"	66	0	0	0	7	1	0	1	1	0	1	0	0	1	0	1	0.259259259259259
"300"	57	0	0	0	5	0	0	1	1	0	1	0	1	0	0	1	0.274099883855981
"301"	57	0	0	0	7	0	0	0	0	0	1	0	1	0	0	0	0.0140252454417952
"302"	64	0	0	0	9	0	1	1	1	0	0	1	0	1	0	1	0.359587251828631
"303"	49	0	1	2	12	0	0	0	0	0	1	0	1	0	0	1	0.00180128251314936
"304"	51	0	0	0	2	0	0	1	1	0	1	0	1	0	0	1	0.153846153846154
"305"	79	0	0	0	8	0	0	1	1	0	1	0	0	0	1	1	0.188575738874031
"306"	80	0	0	0	7	0	0	0	0	0	0	1	0	1	0	1	0.205233861879774
"307"	69	0	0	0	4	0	0	0	0	0	1	0	0	1	0	1	0.0367004543865781
"308"	73	0	0	0	4	1	1	1	1	1	0	0	0	1	0	1	0.275903614457831
"309"	72	0	0	0	5	0	1	0	1	0	1	0	0	0	1	1	0.0821238938053097
"310"	67	0	0	0	6	0	0	0	0	0	0	1	0	1	0	1	0.0818460429060754
"311"	61	0	0	1	4	0	0	0	0	0	0	1	0	0	1	1	0.09304327038011
"312"	57	0	0	0	7	0	0	0	0	0	0	1	0	0	1	1	0.0339222140122254
"313"	61	0	0	0	5	0	0	0	0	0	0	1	0	1	0	1	0.0213523131672598
"314"	72	0	0	0	7	0	0	0	0	0	1	0	1	0	0	1	0.00799200799200799
"315"	66	0	0	0	7	1	1	1	0	1	0	0	1	0	0	0	0.602400904688723
